x,Potential(V)
0.00008,3.86678
0.00000,3.86260
0.00000,3.85925
0.00000,3.85591
0.00000,3.85257
0.00000,3.84922
0.00000,3.84588
0.00000,3.84253
0.00000,3.83919
0.00000,3.83584
0.00000,3.83250
0.00000,3.82915
0.00000,3.82581
0.00000,3.82247
0.00000,3.81912
0.00000,3.81578
0.00000,3.81243
0.00000,3.80909
0.00000,3.80574
0.00000,3.80240
0.00000,3.79905
0.00000,3.79571
0.00000,3.79237
0.00000,3.78902
0.00000,3.78568
0.00000,3.78233
0.00000,3.77899
0.00000,3.77564
0.00000,3.77230
0.00000,3.76895
0.00000,3.76561
0.00000,3.76227
0.00000,3.75892
0.00000,3.75558
0.00000,3.75223
0.00000,3.74889
0.00000,3.74554
0.00000,3.74220
0.00000,3.73885
0.00000,3.73551
0.00000,3.73217
0.00000,3.72882
0.00000,3.72548
0.00000,3.72213
0.00000,3.71879
0.00000,3.71544
0.00000,3.71210
0.00000,3.70875
0.00000,3.70541
0.00000,3.70207
0.00000,3.69872
0.00000,3.69538
0.00000,3.69203
0.00000,3.68869
0.00000,3.68534
0.00000,3.68200
0.00000,3.67865
0.00000,3.67531
0.00000,3.67197
0.00000,3.66862
0.00000,3.66528
0.00000,3.66193
0.00000,3.65859
0.00000,3.65524
0.00000,3.65190
0.00000,3.64855
0.00000,3.64521
0.00000,3.64187
0.00000,3.63852
0.00000,3.63518
0.00000,3.63183
0.00000,3.62849
0.00000,3.62514
0.00000,3.62180
0.00000,3.61845
0.00000,3.61511
0.00000,3.61177
0.00000,3.60842
0.00000,3.60508
0.00000,3.60173
0.00000,3.59839
0.00000,3.59504
0.00000,3.59170
0.00000,3.58836
0.00000,3.58501
0.00000,3.58167
0.00000,3.57832
0.00000,3.57498
0.00000,3.57163
0.00000,3.56829
0.00000,3.56494
0.00000,3.56160
0.00000,3.55826
0.00000,3.55491
0.00000,3.55157
0.00000,3.54822
0.00000,3.54488
0.00000,3.54153
0.00000,3.53819
0.00000,3.53484
0.00000,3.53150
0.00000,3.52816
0.00000,3.52481
0.00000,3.52147
0.00000,3.51812
0.00000,3.51478
0.00000,3.51143
0.00000,3.50809
0.00000,3.50474
0.00000,3.50140
0.00000,3.49806
0.00000,3.49471
0.00000,3.49137
0.00000,3.48802
0.00000,3.48468
0.00000,3.48133
0.00000,3.47799
0.00000,3.47464
0.00000,3.47130
0.00000,3.46796
0.00000,3.46461
0.00000,3.46127
0.00000,3.45792
0.00000,3.45458
0.00000,3.45123
0.00000,3.44789
0.00000,3.44454
0.00000,3.44120
0.00000,3.43786
0.00000,3.43451
0.00000,3.43117
0.00000,3.42782
0.00000,3.42448
0.00000,3.42113
0.00000,3.41779
0.00000,3.41444
0.00000,3.41110
0.00000,3.40776
0.00000,3.40441
0.00000,3.40107
0.00000,3.39772
0.00000,3.39438
0.00000,3.39103
0.00000,3.38769
0.00000,3.38434
0.00000,3.38100
0.00000,3.37766
0.00000,3.37431
0.00000,3.37097
0.00000,3.36762
0.00000,3.36428
0.00000,3.36093
0.00000,3.35759
0.00000,3.35424
0.00000,3.35090
0.00000,3.34756
0.00000,3.34421
0.00000,3.34087
0.00000,3.33752
0.00000,3.33418
0.00000,3.33083
0.00000,3.32749
0.00000,3.32414
0.00000,3.32080
0.00000,3.31746
0.00000,3.31411
0.00000,3.31077
0.00000,3.30742
0.00000,3.30408
0.00000,3.30073
0.00000,3.29739
0.00000,3.29404
0.00000,3.29070
0.00000,3.28736
0.00000,3.28401
0.00000,3.28067
0.00000,3.27732
0.00000,3.27398
0.00000,3.27063
0.00000,3.26729
0.00000,3.26394
0.00000,3.26060
0.00000,3.25726
0.00000,3.25391
0.00000,3.25057
0.00000,3.24722
0.00000,3.24388
0.00000,3.24053
0.00000,3.23719
0.00000,3.23385
0.00000,3.23050
0.00000,3.22716
0.00000,3.22381
0.00000,3.22047
0.00000,3.21712
0.00000,3.21378
0.00000,3.21043
0.00000,3.20709
0.00000,3.20375
0.00000,3.20040
0.00000,3.19706
0.00000,3.19371
0.00000,3.19037
0.00000,3.18702
0.00000,3.18368
0.00000,3.18033
0.00000,3.17699
0.00000,3.17365
0.00000,3.17030
0.00000,3.16696
0.00000,3.16361
0.00000,3.16027
0.00000,3.15692
0.00000,3.15358
0.00000,3.15023
0.00000,3.14689
0.00000,3.14355
0.00000,3.14020
0.00000,3.13686
0.00000,3.13351
0.00058,3.89186
0.00050,3.88768
0.00050,3.88434
0.00050,3.88099
0.00050,3.87765
0.00050,3.87430
0.00050,3.87096
0.00109,3.90022
0.00100,3.89604
0.00109,3.86678
0.00100,3.86260
0.00100,3.85925
0.00100,3.85591
0.00100,3.85257
0.00100,3.84922
0.00100,3.84588
0.00100,3.84253
0.00100,3.83919
0.00100,3.83584
0.00100,3.83250
0.00100,3.82915
0.00100,3.82581
0.00100,3.82247
0.00100,3.81912
0.00100,3.81578
0.00100,3.81243
0.00100,3.80909
0.00100,3.80574
0.00100,3.80240
0.00100,3.79905
0.00100,3.79571
0.00100,3.79237
0.00100,3.78902
0.00100,3.78568
0.00100,3.78233
0.00100,3.77899
0.00100,3.77564
0.00100,3.77230
0.00100,3.76895
0.00100,3.76561
0.00075,3.76394
0.00109,3.75976
0.00100,3.75558
0.00100,3.75223
0.00100,3.74889
0.00100,3.74554
0.00100,3.74220
0.00100,3.73885
0.00100,3.73551
0.00100,3.73217
0.00100,3.72882
0.00100,3.72548
0.00100,3.72213
0.00100,3.71879
0.00100,3.71544
0.00100,3.71210
0.00100,3.70875
0.00100,3.70541
0.00100,3.70207
0.00100,3.69872
0.00100,3.69538
0.00100,3.69203
0.00100,3.68869
0.00100,3.68534
0.00100,3.68200
0.00100,3.67865
0.00100,3.67531
0.00100,3.67197
0.00100,3.66862
0.00100,3.66528
0.00100,3.66193
0.00100,3.65859
0.00100,3.65524
0.00100,3.65190
0.00100,3.64855
0.00100,3.64521
0.00100,3.64187
0.00100,3.63852
0.00100,3.63518
0.00100,3.63183
0.00100,3.62849
0.00100,3.62514
0.00100,3.62180
0.00100,3.61845
0.00100,3.61511
0.00100,3.61177
0.00100,3.60842
0.00100,3.60508
0.00100,3.60173
0.00100,3.59839
0.00100,3.59504
0.00100,3.59170
0.00100,3.58836
0.00100,3.58501
0.00100,3.58167
0.00100,3.57832
0.00100,3.57498
0.00100,3.57163
0.00100,3.56829
0.00100,3.56494
0.00100,3.56160
0.00100,3.55826
0.00100,3.55491
0.00100,3.55157
0.00100,3.54822
0.00100,3.54488
0.00100,3.54153
0.00100,3.53819
0.00100,3.53484
0.00100,3.53150
0.00100,3.52816
0.00100,3.52481
0.00100,3.52147
0.00100,3.51812
0.00100,3.51478
0.00100,3.51143
0.00100,3.50809
0.00100,3.50474
0.00100,3.50140
0.00100,3.49806
0.00100,3.49471
0.00100,3.49137
0.00100,3.48802
0.00100,3.48468
0.00100,3.48133
0.00100,3.47799
0.00100,3.47464
0.00100,3.47130
0.00100,3.46796
0.00100,3.46461
0.00100,3.46127
0.00100,3.45792
0.00100,3.45458
0.00100,3.45123
0.00100,3.44789
0.00100,3.44454
0.00100,3.44120
0.00100,3.43786
0.00100,3.43451
0.00100,3.43117
0.00100,3.42782
0.00100,3.42448
0.00100,3.42113
0.00100,3.41779
0.00100,3.41444
0.00100,3.41110
0.00100,3.40776
0.00100,3.40441
0.00100,3.40107
0.00100,3.39772
0.00100,3.39438
0.00100,3.39103
0.00100,3.38769
0.00100,3.38434
0.00100,3.38100
